Pardy | Machel Montano | Jump up and party, whole night we shellin down!
Work It Out | V’ghn ft. Banx & Ranx | We go work it out, dance till di morning come.
Cocoa Tea | Kes | Sweet like cocoa tea, love in yuh energy.
One Piece | GBM Nutron | Put it together, we moving like one piece.
The Greatest Bend Over | Yung Bredda | Bend over, di crowd get mad, di fete mash up!
No Sweetness | Kes ft. Full Blown | No sweetness if yuh cyah bring di vibes!
Good Spirits | Full Blown | Raise yuh glass, we in good spirits tonight!
Jamtown | Coutain & Tano | Jamtown people, jump up, leh we go!
Too Own Way | Voice | She too own way, still I cyah let she go.
Carry It | Bunji Garlin | Carry di weight, but we still strong in di fete.
Energy | Mical Teja | Bring di energy, raise it high pon di road!
Take Me Home | Freetown Collective | Take me home to di place where carnival live.
Tabanca | Mical Teja | Tabanca sweet, but di music set me free.
Someone Else | Quan x Litleboy x Trilla | If yuh love somebody, doh look for someone else.
Rum In My Cup | Problem Child | Rum in my cup, fete cyah done!
Blessings Again | Patrice Roberts | More blessings, more life, fete forever!
All Night Jam | Nailah Blackman | We jamming all night, soca sweet again.
Carnival Fever | Lyrikal | Carnival fever, catch it on di road!
Wine Down Low | Destra Garcia | Wine down low, gyal control di show!
No Behaviour | Iwer George | No behaviour in di fete, we mash it up!
Jump High | Skinny Fabulous | Jump high, wave yuh rag to di sky!
Sweet Bacchanal | Nadia Batson | Sweet bacchanal, leh we take over di stage!
Vibes In Yuh | Sekon Sta | Bring di vibes in yuh, crowd going insane!
Fete Outside | Farmer Nappy | Fete outside, sunshine and riddim collide!
Island Heat | Shal Marshall | Island heat, every bumper must meet!
Hold Meh Tight | Patrice Roberts | Hold meh tight, doh leh go tonight.
Carnival Coming | Voice | Carnival coming, and meh body ready now!
Overload | Kes | Overload with di riddim, leh we take control.
Rum & Road | Problem Child | Rum and road, dat is all ah know!
One Jam Nation | Bunji Garlin | One jam nation, united pon di road.
Bless Up | Nadia Batson | Bless up yuh life, carnival is di vibe.
Turn It Up | Nailah Blackman | Turn it up louder, soca fi di crowd ya!
Full Power | Machel Montano | Full power, no slowing down in di fete.
Wave It Again | Skinny Fabulous | Wave it again, leh dem see yuh energy.
Good To Go | Sekon Sta | Everything set, good to go for carnival!
Soca Therapy | Freetown Collective | Soca therapy, cure meh misery.
Festival Love | Destra Garcia | Festival love, dis bacchanal sweet!
Move Yuh Waist | Shal Marshall | Move yuh waistline, soca in yuh spine.
Bacchanal Time | Voice | Bacchanal time, leh we mash up di line!
Glow | Kes | Glow with di riddim, shine pon di road.
